ProductID,ProductName,Price,Stock,Description,ProductIcon,CategoryType
B00010, Wood 6 Seater Sofa Set,20000,35,Solid Sheesham Wood 6 Seater Sofa Set for Living Room ,https://m.media-amazon.com/images/I/51VODz1cuAS.jpg,0
B00011,Wood 2 Seater Sofa,15000,21,Shayar Art Solid Sheesham Wood 2 Seater Sofa with Cushion for Home ,https://m.media-amazon.com/images/I/51d1ByJUxJL.jpg,0
B00012,Wooden 5 Seater Sofa Set ,21000,13,S D Furniture Wooden 5 Seater Sofa Set for Living Room ,https://m.media-amazon.com/images/I/61O0MvzN75S._SL1000_.jpg,0
B00013,Orthopedic Memory Foam 6-Inch Single Size Mattress,8000,15,"Wakefit Orthopedic Memory Foam 6-Inch Single Size Mattress (75x35x6 Inches, Medium Firm, White) ",https://m.media-amazon.com/images/I/51-nCIbkqtL._SL1000_.jpg,0
B00014,Door Foldable Wardrobe,6000,16,"Amazon Brand - Solimo 2-Door Foldable Wardrobe, 5 Racks, Brown",https://m.media-amazon.com/images/I/91p-I01HXEL._SL1500_.jpg,0
B00015,Bathroom Mirror Led Illuminated Round Lighted,5000,21,"VENETIAN IMAGE Bathroom Mirror Led Illuminated Round Lighted Vanity Makeup Wall Mounted Lights Cosmetic with Touch Switch Demister Pad (Warm Light, 60 x 60 cm) ",https://m.media-amazon.com/images/I/61EG1mnE+XL._SL1000_.jpg,0
B00016,Multipurpose Table,3500,34,"Woodbuzz Duke Study Table, Laptop, Computer Table",https://m.media-amazon.com/images/I/6121+719nBL._SL1000_.jpg,0
B00017, Multi-Functional Ergonomic Gaming Chair,6500,12,"Green Soul Fiction Multi-Functional Ergonomic Gaming Chair with Premium & Soft PU Leather Fabric, Adjustable Neck & Lumbar Pillow, 4D Adjustable Armrests & Heavy Duty Metal Base (Black & Grey) ",https://m.media-amazon.com/images/I/71fhUMfoMHL._SL1500_.jpg,0
B00018,Wooden Intersecting Wall Shelves (Set of 8),4500,12,"Wooden Twist Rafuf Wooden Intersecting Wall Shelves (Set of 8) (Standard, Yellow & Black)",https://m.media-amazon.com/images/I/71PRojMfaBL._SL1500_.jpg,0
B00019,Floating Rectangular Intersecting Wall Mounted Shelf Rack Set of 6 ,2400,17,HOMEDESIGNMART MDF Floating Rectangular Intersecting Wall Mounted Shelf Rack Set of 6 & Hexagonal Home Decor Wall Shelf Set of 3 (Pink & White) ,https://m.media-amazon.com/images/I/31s7vgB9zXL.jpg,0
B00020,"BlushBees Living Box - Storage Boxes for Clothes,",1200,23,"BlushBees Living Box - Storage Boxes for Clothes, Saree Cover - 55 Litre, Pack of 4, Brown",https://m.media-amazon.com/images/I/91fzx4umWAL._SL1500_.jpg,1
B00021,Shoe Storage Boxes,1250,13,"Primalite Plastic Stackable SIDE FRONT Rectangular Shoe Storage Boxes , MEDIUM 10 Pack, Clear , upto UK: 9.5 , US: 10 ",https://m.media-amazon.com/images/I/81z0huRtp6S._SL1500_.jpg,1
B00022,Alfa 2 Plastic Cabinet for Storage,2540,31,Alfa 2 Plastic Cabinet for Storage | Space Organizer,https://m.media-amazon.com/images/I/71PVTDDxQzL._SL1200_.jpg,1
